Date,Currency,Rate
2023-12-28,NOK,11.2625
2023-12-28,NZD,1.7536
2023-12-28,PHP,61.599
2023-12-28,PLN,4.3355
2023-12-28,RON,4.9753
2023-12-28,SEK,11.0382
2023-12-28,SGD,1.4643
2023-12-28,THB,37.999
2023-12-28,TRY,32.75
2023-12-28,USD,1.1114
2023-12-28,ZAR,20.6
2023-12-29,AUD,1.6263
2023-12-29,BGN,1.9558
2023-12-29,BRL,5.3618
2023-12-29,CAD,1.4642
2023-12-29,CHF,0.926
2023-12-29,CNY,7.8509
2023-12-29,CZK,24.724
2023-12-29,DKK,7.4529
2023-12-29,GBP,0.86905
2023-12-29,HKD,8.6314
2023-12-29,HUF,382.8
2023-12-29,IDR,17080
2023-12-29,ILS,3.9993
2023-12-29,INR,91.9
2023-12-29,ISK,150.5
2023-12-29,JPY,156.33
2023-12-29,KRW,1433.66
2023-12-29,MXN,18.7231
2023-12-29,MYR,5.0775
2023-12-29,NOK,11.2405
2023-12-29,NZD,1.7504
2023-12-29,PHP,61.283
2023-12-29,PLN,4.3395
2023-12-29,RON,4.9756
2023-12-29,SEK,11.096
2023-12-29,SGD,1.4591
2023-12-29,THB,37.973
2023-12-29,TRY,32.653
2023-12-29,USD,1.105
2023-12-29,ZAR,20.348
2024-01-02,AUD,1.6147
2024-01-02,BGN,1.9558
2024-01-02,BRL,5.3562
2024-01-02,CAD,1.4565
2024-01-02,CHF,0.9305
2024-01-02,CNY,7.8264
2024-01-02,CZK,24.687
2024-01-02,DKK,7.4551
2024-01-02,GBP,0.86645
2024-01-02,HKD,8.5609
2024-01-02,HUF,382.1
2024-01-02,IDR,17008
2024-01-02,ILS,3.9705
2024-01-02,INR,91.28
2024-01-02,ISK,150.7
2024-01-02,JPY,155.68
2024-01-02,KRW,1438.78
2024-01-02,MXN,18.6887
2024-01-02,MYR,5.0425
2024-01-02,NOK,11.2815
2024-01-02,NZD,1.7471
2024-01-02,PHP,60.981
2024-01-02,PLN,4.3708
2024-01-02,RON,4.9705
2024-01-02,SEK,11.1545
2024-01-02,SGD,1.4533
2024-01-02,THB,37.563
2024-01-02,TRY,32.568
2024-01-02,USD,1.0956
2024-01-02,ZAR,20.366
2024-01-03,AUD,1.6236
2024-01-03,BGN,1.9558
2024-01-03,BRL,5.3859
2024-01-03,CAD,1.4574
2024-01-03,CHF,0.9322
2024-01-03,CNY,7.8057
2024-01-03,CZK,24.675
2024-01-03,DKK,7.4581
2024-01-03,GBP,0.8647
2024-01-03,HKD,8.5257
2024-01-03,HUF,380.75
2024-01-03,IDR,16994
2024-01-03,ILS,3.9867
2024-01-03,INR,90.96
2024-01-03,ISK,150.7
2024-01-03,JPY,156.16
2024-01-03,KRW,1432.28
2024-01-03,MXN,18.6682
2024-01-03,MYR,5.0566
2024-01-03,NOK,11.32
2024-01-03,NZD,1.7515
2024-01-03,PHP,60.699
2024-01-03,PLN,4.3638
2024-01-03,RON,4.9725
2024-01-03,SEK,11.1915
2024-01-03,SGD,1.4503
2024-01-03,THB,37.616
2024-01-03,TRY,32.518
2024-01-03,USD,1.0919
2024-01-03,ZAR,20.533
2024-01-04,AUD,1.628
2024-01-04,BGN,1.9558
2024-01-04,BRL,5.3761
2024-01-04,CAD,1.4603
2024-01-04,CHF,0.9313
2024-01-04,CNY,7.833
2024-01-04,CZK,24.652
2024-01-04,DKK,7.459
2024-01-04,GBP,0.86278
2024-01-04,HKD,8.5523
2024-01-04,HUF,378.85
2024-01-04,IDR,16994
2024-01-04,ILS,3.9973
2024-01-04,INR,91.17
2024-01-04,ISK,150.5
2024-01-04,JPY,157.91
2024-01-04,KRW,1434.25
2024-01-04,MXN,18.6124
2024-01-04,MYR,5.0762
2024-01-04,NOK,11.2845
2024-01-04,NZD,1.7528
2024-01-04,PHP,60.833
2024-01-04,PLN,4.346
2024-01-04,RON,4.9733
2024-01-04,SEK,11.1905
2024-01-04,SGD,1.4546
2024-01-04,THB,37.75
2024-01-04,TRY,32.609
2024-01-04,USD,1.0953
2024-01-04,ZAR,20.427
2024-01-05,AUD,1.6337
2024-01-05,BGN,1.9558
